"time","player_uuid","player_name","shop_uuid","shop_type","shop_world","shop_x","shop_y","shop_z","shop_owner_uuid","shop_owner_name","item1_type","item1_amount","item1_metadata","item2_type","item2_amount","item2_metadata","result_item_type","result_item_amount","result_item_metadata","trade_count"
"13:31:59","757454a9-17b6-4563-96ef-fddcd857f61d","Egorizik","5c4f4f4a-9420-48b7-9861-f0a907666d06","trade","gmgame","-392","74","72","e213ba3b-8dc6-4963-8dcc-1ce28c590f9c","SoftPanda3","DEEPSLATE_DIAMOND_ORE","1","{v: 3105}","","","","SHULKER_SHELL","10","{v: 3105}","10"
"14:06:27","456163f7-bca4-4a3d-b4dd-39cbfab49e86","ytka_sorry_t9","fcb22039-2855-4735-81d5-0705adbe3b1f","trade","gmgame","-265","95","10","256862c0-2159-450c-a26d-08a0565d8f2e","Jean_Viento","DEEPSLATE_DIAMOND_ORE","16","{v: 3105}","","","","WHITE_SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, display-name: '{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""#717486"",""text"":"" Стекло. Viento™""}],""text"":""""}', internal: H4sIAAAAAAAA/43Luw6CMAAF0AuCQlXwhc8/cTISB2fdDSIiodCElkT/3kETR+9+jgAEgr1UaXmoTWFe5yT3YBc3RFVRZ2mT3M1WP1pZZs3lqp4+3KPJKi0AbCw4J6kMPiH8hVwmWltwY9XWZoevs0hnk65DOod0Lum6pOuRziOdTzpBuj7pBqQbki4gXUi6EenGpJuQbkq6Geki0s1JtyDdknQr0q3/OeANvp2NlXcEAAA=, blockMaterial: WHITE_SHULKER_BOX}}","2"
"15:06:21","456163f7-bca4-4a3d-b4dd-39cbfab49e86","ytka_sorry_t9","82cc6d74-59dc-4cf5-9379-156ee10bdc86","trade","gmgame","-180","67","-31","0ad668f3-dac3-4741-878a-5e57193f7eda","SolyankaXD","DEEPSLATE_DIAMOND_ORE","25","{v: 3105}","","","","WHITE_SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, internal: H4sIAAAAAAAA/43Luw6CMAAF0AuCQlXwhc8/cTIaB2fdDWIVArQJlKh/76CJo3c/RwACwbbQSb5XJjOvU3z3YGdXRGWmZFLFN7Ou06bIZXW+6KcP92BkWQsAKwvOsdAGnxD+wiOVsbHg7nSjzAZfZ5HOJl2LdA7pXNK1SdchnUc6n3SCdF3S9UjXJ11AupB0A9INSTci3Zh0E9JFpJuSbka6OekWpFv+c8AbH0DZ/ncEAAA=, blockMaterial: WHITE_SHULKER_BOX}}","1"
"15:37:25","4c8ea044-1bce-418f-824d-5c38fb86d492","ItzClandex","5c4f4f4a-9420-48b7-9861-f0a907666d06","trade","gmgame","-392","74","72","e213ba3b-8dc6-4963-8dcc-1ce28c590f9c","SoftPanda3","DEEPSLATE_DIAMOND_ORE","1","{v: 3105}","","","","SHULKER_SHELL","10","{v: 3105}","2"
"15:38:38","4c8ea044-1bce-418f-824d-5c38fb86d492","ItzClandex","bd776fc6-fd01-4253-a4eb-01e5c3a6a700","trade","gmgame","-227","72","-13","e213ba3b-8dc6-4963-8dcc-1ce28c590f9c","SoftPanda3","SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, internal: H4sIAAAAAAAA/43Luw6CMAAF0AtShar4xOefOBmNg7PuBqEqAdoESqJ/76CDm3c/RwIS4a4wSX7QNrOvc3z34WYpojLTKqnim93Uj6bIVXW5mmcAcbSqrCWAtQPvVBgLB2JvGm23nxn+zFin+DKHYy7HWhzzOCY41uZYh2M+xwKOSY51OdbjWJ9jIccGHBtybMSxMccmHJtyLOLYjGNzji04tuTY6g8D3pyUlOhcBAAA, blockMaterial: SHULKER_BOX}}","","","","SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, internal: H4sIAAAAAAAA/0XLsQ6CMBQF0FsiCXRgc/Y/HCUMzro3lT61oe0z7WuCfy8Jg2c/GtAYLoHnZUri5Xu3rw6NdzhGn2jO9inn8q5hoWwevPZor0KxaABK4XALLNjD6R8c0acEK2Sct5GTM5xJoR25Jum2+gP553oydwAAAA==, blockMaterial: SHULKER_BOX}}","2"
"19:15:03","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","526a7f2b-c457-4ca3-98e2-5027fcbc97ed","trade","gmgame","-189","69","-92","e7fddd2d-6a2b-4d00-a247-687037f23d76","gerhugwsif","DEEPSLATE_DIAMOND_ORE","4","{v: 3105}","","","","CREEPER_HEAD","1","{v: 3105}","1"
"19:15:15","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","526a7f2b-c457-4ca3-98e2-5027fcbc97ed","trade","gmgame","-189","69","-92","e7fddd2d-6a2b-4d00-a247-687037f23d76","gerhugwsif","DEEPSLATE_DIAMOND_ORE","4","{v: 3105}","","","","SKELETON_SKULL","1","{v: 3105}","1"
"19:24:36","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","c8a1755e-3834-475f-9881-ed66af558129","trade","gmgame","-385","81","19","456163f7-bca4-4a3d-b4dd-39cbfab49e86","ytka_sorry_t9","DEEPSLATE_DIAMOND_ORE","64","{v: 3105}","DEEPSLATE_DIAMOND_ORE","64","{v: 3105}","SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, display-name: '{""text"":""Трезубцы""}', internal: H4sIAAAAAAAA/6XUv07CUBQG8EMLSCuiIPh3dfQJHFUGZl2NucC1NL29NeVi5EWMxskH8AlcHE1c3VzcHJzURZ1slJySKCZ+HW663N/9zsk5qUvkUmVTRZ2gqY1vhrvCK5Hld6kR+lp2YnFgNvq9gQpkvN+Ojh0qtIwM+y4RreYov6MiQ9+gmgIT+12pTY4KW9Eg+bpkG+HZVNwWofBkYu+IRjoH6AvWFqA/HCo3dacntAmTm1+9jKqop+8MdDuWIvC1Z5GtjlSSyKk2kCpZ5wH9xroA6BvWRUBfsp4C9CnrEqAfsFlZ6awcIPWRtQvoe9bTgF7/pePRltfSd/zwUKjxfv+1v2WgrpcsdY0lqWgolBn+LGoGKOqEdQXQr6xnAb02eTUntju2l3PIZk2O/GsGnFkFMq9Y1wB9xnoe0LcZ+60DmeesG4B+Zr0A6BbrRUDvsV4C9HXmP+0ykPrOegXQT8mhT1LIW73DCAAA, blockMaterial: SHULKER_BOX}}","1"
"19:27:23","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","f17b313f-051c-43fd-932d-26b786ed5bb8","trade","gmgame","-407","75","-38","8cff66bb-155b-4d11-acf2-ea954720ad4c","kermitik","DEEPSLATE_DIAMOND_ORE","10","{v: 3105}","","","","NETHERITE_INGOT","1","{v: 3105}","1"
"19:27:26","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","f17b313f-051c-43fd-932d-26b786ed5bb8","trade","gmgame","-407","75","-38","8cff66bb-155b-4d11-acf2-ea954720ad4c","kermitik","DEEPSLATE_DIAMOND_ORE","19","{v: 3105}","","","","NETHERITE_SWORD","1","{v: 3105, meta: {==: ItemMeta, meta-type: UNSPECIFIC, enchants: {FIRE_ASPECT: 2, KNOCKBACK: 2, MENDING: 1, DAMAGE_ALL: 5, SWEEPING_EDGE: 3, DURABILITY: 3}, repair-cost: 63}}","1"
"19:27:28","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","f17b313f-051c-43fd-932d-26b786ed5bb8","trade","gmgame","-407","75","-38","8cff66bb-155b-4d11-acf2-ea954720ad4c","kermitik","DEEPSLATE_DIAMOND_ORE","10","{v: 3105}","","","","NETHERITE_INGOT","1","{v: 3105}","3"
"19:27:43","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","f17b313f-051c-43fd-932d-26b786ed5bb8","trade","gmgame","-407","75","-38","8cff66bb-155b-4d11-acf2-ea954720ad4c","kermitik","DEEPSLATE_DIAMOND_ORE","10","{v: 3105}","","","","NETHERITE_INGOT","1","{v: 3105}","6"
"21:19:14","d4f7c0a7-9364-42c2-a804-feb08efcc60d","wanier680","bd776fc6-fd01-4253-a4eb-01e5c3a6a700","trade","gmgame","-227","72","-13","e213ba3b-8dc6-4963-8dcc-1ce28c590f9c","SoftPanda3","SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, internal: H4sIAAAAAAAA/43Luw6CMAAF0AtShar4xOefOBmNg7PuBqEqAdoESqJ/76CDm3c/RwIS4a4wSX7QNrOvc3z34WYpojLTKqnim93Uj6bIVXW5mmcAcbSqrCWAtQPvVBgLB2JvGm23nxn+zFin+DKHYy7HWhzzOCY41uZYh2M+xwKOSY51OdbjWJ9jIccGHBtybMSxMccmHJtyLOLYjGNzji04tuTY6g8D3pyUlOhcBAAA, blockMaterial: SHULKER_BOX}}","","","","SHULKER_BOX","1","{v: 3105, meta: {==: ItemMeta, meta-type: TILE_ENTITY, internal: H4sIAAAAAAAA/0XLsQ6CMBQF0FsiCXRgc/Y/HCUMzro3lT61oe0z7WuCfy8Jg2c/GtAYLoHnZUri5Xu3rw6NdzhGn2jO9inn8q5hoWwevPZor0KxaABK4XALLNjD6R8c0acEK2Sct5GTM5xJoR25Jum2+gP553oydwAAAA==, blockMaterial: SHULKER_BOX}}","4"
