"time","player_uuid","player_name","shop_uuid","shop_type","shop_world","shop_x","shop_y","shop_z","shop_owner_uuid","shop_owner_name","item1_type","item1_amount","item1_metadata","item2_type","item2_amount","item2_metadata","result_item_type","result_item_amount","result_item_metadata","trade_count"
"10:47:37","93d633d5-997f-4932-924b-32342fe6abe1","pudjhukaet","72afcfde-ca9b-4407-9aef-cf960f3d75ce","trade","gmgame","-414","73","102","52e62b5f-f20c-464e-a722-22c064fbe049","_Kerubifi_","DEEPSLATE_DIAMOND_ORE","15","{v: 3465}","","","","DIAMOND_CHESTPLATE","1","{v: 3465, meta: {==: ItemMeta, meta-type: ARMOR, display-name: '{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_aqua"",""text"":""Шипастая взрывоустойчивая кираса 🛡""}],""text"":""""}', lore: ['{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_gray"",""text"":""Просто шипы и взрывоустойчивость""}],""text"":""""}'], enchants: {PROTECTION_EXPLOSIONS: 4, MENDING: 1, THORNS: 3, DURABILITY: 3}, repair-cost: 7}}","1"
"10:47:45","93d633d5-997f-4932-924b-32342fe6abe1","pudjhukaet","72afcfde-ca9b-4407-9aef-cf960f3d75ce","trade","gmgame","-414","73","102","52e62b5f-f20c-464e-a722-22c064fbe049","_Kerubifi_","DEEPSLATE_DIAMOND_ORE","15","{v: 3465}","","","","DIAMOND_LEGGINGS","1","{v: 3465, meta: {==: ItemMeta, meta-type: ARMOR, display-name: '{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_aqua"",""text"":""Шипастые огнеупорные штаны 🛡""}],""text"":""""}', lore: ['{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_gray"",""text"":""Просто шипы и огнеупорность""}],""text"":""""}'], enchants: {PROTECTION_FIRE: 4, MENDING: 1, THORNS: 3, DURABILITY: 3}, repair-cost: 7}}","1"
"10:48:06","93d633d5-997f-4932-924b-32342fe6abe1","pudjhukaet","72afcfde-ca9b-4407-9aef-cf960f3d75ce","trade","gmgame","-414","73","102","52e62b5f-f20c-464e-a722-22c064fbe049","_Kerubifi_","DEEPSLATE_DIAMOND_ORE","19","{v: 3465}","","","","DIAMOND_BOOTS","1","{v: 3465, meta: {==: ItemMeta, meta-type: ARMOR, display-name: '{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_aqua"",""text"":""Шипастые защитные сапоги 🛡""}],""text"":""""}', lore: ['{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_gray"",""text"":""Увеличь скорость ходьбы под водой""}],""text"":""""}'], enchants: {DEPTH_STRIDER: 3, PROTECTION_FALL: 4, MENDING: 1, PROTECTION_ENVIRONMENTAL: 4, SOUL_SPEED: 3, THORNS: 3, DURABILITY: 3}, repair-cost: 31}}","1"
"13:42:34","5043ef8e-fe4a-4371-b4cf-295ceda49935","EmptyO","34e7aa2c-2c99-471e-bd98-0bc4c7cfb74a","trade","gmgame","-224","78","29","52e62b5f-f20c-464e-a722-22c064fbe049","_Kerubifi_","DEEPSLATE_DIAMOND_ORE","13","{v: 3465}","","","","DIAMOND_PICKAXE","1","{v: 3465, meta: {==: ItemMeta, meta-type: UNSPECIFIC, display-name: '{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""gold"",""text"":""Счастливый бур ⛏""}],""text"":""""}', lore: ['{""extra"":[{""bold"":false,""italic"":false,""underlined"":false,""strikethrough"":false,""obfuscated"":false,""color"":""dark_gray"",""text"":""Шанс выпадения дополнительных ресурсов""}],""text"":""""}'], enchants: {DIG_SPEED: 5, LOOT_BONUS_BLOCKS: 3, MENDING: 1, DURABILITY: 3}, repair-cost: 15}}","1"
"18:09:33","45911b02-1316-46bd-acd3-fa4e43139fd6","ThreeASix","811e2714-e3de-4381-bec2-2b554bf4b172","trade","gmgame","-198","84","53","7ec8b565-2af1-461d-9091-96ff72d32dd5","IronCAT_","DEEPSLATE_DIAMOND_ORE","12","{v: 3465}","","","","ENCHANTED_BOOK","1","{v: 3465, meta: {==: ItemMeta, meta-type: ENCHANTED, repair-cost: 3, stored-enchants: {SWIFT_SNEAK: 3}}}","1"
"18:10:54","45911b02-1316-46bd-acd3-fa4e43139fd6","ThreeASix","811e2714-e3de-4381-bec2-2b554bf4b172","trade","gmgame","-198","84","53","7ec8b565-2af1-461d-9091-96ff72d32dd5","IronCAT_","DIAMOND","3","{v: 3465}","","","","DEEPSLATE_DIAMOND_ORE","1","{v: 3465}","2"
